title,authors,genre,cover,average_rating,ratings_count,summary,,num_pages,published_year,subtitle,isbn10,isbn13
The Smoke Jumper,Nicholas Evans,Fiction,http://books.google.com/books/content?id=Ta--z2EJO4cC&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.06,28164,"A woman must choose between two men, best friends, that both love her, in a poignant story of love, loyalty, honor, and guilt set against the perilous backdrop of wilderness firefighting. By the author of The Horse Whisperer. Reprint.",,576,2002,,440235162,9780440235163
Ballet Shoes,Noel Streatfeild,Fiction,http://books.google.com/books/content?id=0UvIaTS6wysC&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.07,28222,"In a classic children's story, three unsinkable orphans, believing that they are destined for greatness, set out to make their marks in the world of show business. Reprint.",,233,1993,,679847596,9780679847595
The Razor's Edge,W. Somerset Maugham,Fiction,http://books.google.com/books/content?id=6sSU11MyO8gC&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.19,28339,"Larry Darrell is a young American in search of the absolute. The progress of his spiritual odyssey involves him with some of Maugham's most brilliant characters - his fiancée Isabel whose choice between love and wealth have lifelong repercussions, and Elliott Templeton, her uncle, a classic expatriate American snob. Maugham himself wanders in and out of the story, to observe his characters struggling with their fates.",,314,2003,,1400034205,9781400034208
The Closers,Michael Connelly,Fiction,http://books.google.com/books/content?id=mjh8vgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.12,28571,"In this #1 New York Times bestseller, Detective Harry Bosch joins LA's elite Open/Unsolved Unit to help piece together the mysterious death of a teenage girl. He walked away from the job three years ago. But Harry Bosch cannot resist the call to join the elite Open/Unsolved Unit. His mission: solve murders whose investigations were flawed, stalled, or abandoned to L.A.'s tides of crime. With some people openly rooting for his failure, Harry catches the case of a teenager dragged off to her death on Oat Mountain, and traces the DNA on the murder weapon to a small-time criminal. But something bigger and darker beckons, and Harry must battle to fit all the pieces together. Shaking cages and rattling ghosts, he will push the rules to the limit -- and expose the kind of truth that shatters lives, ends careers, and keeps the dead whispering in the night . . .",,432,2006,,446699551,9780446699556
The Terror,Dan Simmons,Fiction,http://books.google.com/books/content?id=2FLxMwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.05,28640,"The men on board HMS Terror have every expectation of triumph. As part of the 1845 Franklin Expedition, the first steam-powered vessels ever to search for the legendary Northwest Passage, they are as scientifically supported an enterprise as has ever set forth. As they enter a second summer in the Arctic Circle without a thaw, though, they are stranded in a nightmarish landscape of encroaching ice and darkness. Endlessly cold, with diminishing rations, 126 men fight to survive with poisonous food, a dwindling supply of coal, and ships buckling in the grip of crushing ice. But their real enemy is far more terrifying. There is something out there in the frigid darkness: an unseen predator stalking their ship, a monstrous terror constantly clawing to get in.When the expedition's leader, Sir John Franklin, meets a terrible death, Captain Francis Crozier takes command and leads his surviving crewmen on a last, desperate attempt to flee south across the ice. With them travels an Inuit woman who cannot speak and who may be the key to survival, or the harbinger of their deaths. But as another winter approaches, as scurvy and starvation grow more terrible, and as the terror on the ice stalks them southward, Crozier and his men begin to fear that there is no escape. The Terror swells with the heart-stopping suspense and heroic adventure that have won Dan Simmons praise as ""a writer who not only makes big promises but keeps them"" (Seattle Post-Intelligencer). With a haunting and constantly surprising story based on actual historical events, The Terror is a novel that will chill you to your core.",,769,2007,A Novel,316017442,9780316017442
The Hundred Dresses,Eleanor Estes,Fiction,http://books.google.com/books/content?id=herrly9O22EC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,4.09,29372,"In winning a medal she is no longer there to receive, a tight-lipped little Polish girl teaches her classmates a lesson. Includes a note from the author's daughter, Helena Estes.",,80,2004,Growing Up. Set 4,152052607,9780152052607
Arrows of the Queen,Mercedes Lackey,Fiction,http://books.google.com/books/content?id=7s98mAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.16,29552,Eventyrroman.,,320,1987,,886773784,9780886773786
The Complete Short Stories Of Ernest Hemingway,Ernest Hemingway,Fiction,http://books.google.com/books/content?id=27YWOGDIvNEC&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.29,29556,"THE ONLY COMPLETE COLLECTION BY THE NOBEL PRIZE-WINNING AUTHOR In this definitive collection of Ernest Hemingway's short stories, readers will delight in the author's most beloved classics such as ""The Snows of Kilimanjaro,"" ""Hills Like White Elephants,"" and ""A Clean, Well-Lighted Place,"" and will discover seven new tales published for the first time in this collection. For Hemingway fans The Complete Short Stories is an invaluable treasury.",,650,1998,The Finca Vigia Edition,684843323,9780684843322
Crossing to Safety,Wallace Stegner,Fiction,http://books.google.com/books/content?id=nLo4DFPtwHAC&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.16,29642,"Two young couples, Sid and Charity and Larry and Sally, from different backgrounds--East and West, rich and poor--befriend each other in 1937 Madison, Wisconsin, in an evocative and insightful portrait of family and friendship. Reprint. 25,000 first printing.",,368,2002,,037575931X,9780375759314
A Christmas Carol and Other Christmas Writings,Charles Dickens,Fiction,http://books.google.com/books/content?id=1vITxwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.13,29719,"After reading Christmas Carol, the notoriously reculsive Thomas Carlyle was ""seized with a perfect convulsion of hospitality"" and threw not one but two Christmas dinner parties. The impact of the story may not always have been so dramatic but, along with Dickens other Christmas writings, it has had a lasting and significant influence upon our ideas about the Christmas spirit, and about the season as a time for celebration, charity, and memory.",,288,2003,,140439056,9780140439052
The Robots of Dawn,Isaac Asimov,Fiction,http://books.google.com/books/content?id=jDjUjdFggVIC&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.15,29837,"Called to the Spacer world to solve a case of roboticide, New York City detective Elijah Baley teams up with humanoid robot R. Daneel Olivaw to prove that the prime suspect, a renowned roboticist, is innocent of the crime. Reprint.",,435,1994,,553299492,9780553299496
The Christmas Shoes,Donna VanLiere,Fiction,http://books.google.com/books/content?id=ISMSvEsRR-EC&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.23,31800,"While shopping for gifts on Christmas Eve, Robert, a successful lawyer whose family life is falling apart, meets Nathan, an eight-year-old boy whose mother is dying.",,132,2001,,312289510,9780312289515
My Name Is Asher Lev,Chaim Potok,Fiction,http://books.google.com/books/content?id=1jgbhghk5QUC&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.2,31846,The novelist records the anguish and triumphs of a young painter as he emerges into the great world of art and rejects all else.,,369,2003,,1400031044,9781400031047
On Basilisk Station,David Weber,Fiction,http://books.google.com/books/content?id=wfAcswEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.13,32510,"Instead of remaining out of sight during her assignment to a forlorn outpost, spaceship commander Honor Harrington, along with her vessel, the Fearless, performs incredible flying maneuvers to stop a foreign takeover of a major space station.",,458,2005,,1416509372,9781416509370
"The Adventures of Tom Sawyer, And, Adventures of Huckleberry Finn",Mark Twain,Fiction,http://books.google.com/books/content?id=hrQMxsCJIAoC&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.08,32742,"A new edition of two popular American novels presents Twain's classic works depicting the youthful escapades of two boys living along the Mississippi, accompanied by an updated bibliography and a new introduction. Reprint.",,520,2002,,451528646,9780451528643
Taran Wanderer,Lloyd Alexander,Fiction,http://books.google.com/books/content?id=19a89tylSp8C&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.14,33286,The fourth book of the Prydain cycle tells of the adventures that befell Taran when he went in search of his birthright and the truth about himself.,,222,2006,,805080511,9780805080513
Gone for Good,Harlan Coben,Fiction,http://books.google.com/books/content?id=ppjCHXrMa50C&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.11,33601,"Investigating his girlfriend's mysterious disappearance, Will Klein learns that she is somehow tied to his brother's death and becomes increasingly disturbed when he realizes that everyone he loves is harboring dark secrets. By the author of Tell No One. Reprint.",,432,2002,,440236738,9780440236733
A Woman of Substance,Barbara Taylor Bradford,Fiction,http://books.google.com/books/content?id=vrAja1wLa5AC&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.17,33783,"Emma Harte rises from impoverished, pregnant servant to the heights of wealth and power as she parlays a small shop into the world's finest department store, outwitting her enemies, seeking revenge on her betrayers, and realizing her greatest dreams.",,928,2005,,031235326X,9780312353261
Stephen King's Creepshow,Stephen King;Berni Wrightson;Michele Wrightson,Fiction,http://books.google.com/books/content?id=nsOHOgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.07,33816,"Stories in comic strip form tell of a murdered man returning from the grave, a bizarre meteor, a monster that devours people, a husband's terrible revenge, and a plague of cockroaches",,66,1982,A George A. Romero Film,452253802,9780452253803
Dragonsinger,Anne McCaffrey,Fiction,http://books.google.com/books/content?id=IiLlZh6U5tAC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,4.28,34207,"Menolly flees her home, because she is not permitted to make music there, and is taken by the Masterharper himself to Harpershall, where she learns that only her own self-doubt stands in her way.",,288,2003,,689860072,9780689860072
What We Talk about when We Talk about Love,Raymond Carver,Fiction,http://books.google.com/books/content?id=rymEu6EJUykC&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.18,34613,"Stories feature men and women without education, insight, or prospects, who, ironically, are too unimaginative to ever give up",,159,1989,Stories,679723056,9780679723059
Body Double,tess girritsen,Fiction,http://books.google.com/books/content?id=VALRU9UDX3YC&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.18,34772,"Returning from Paris to discover a murder victim in her driveway, Boston medical examiner Maura Isles is shocked to discover that the victim looks exactly like her and is a twin sister she never knew, a situation that prompts the doctor to investigate her true identity and come to terms with a convict biological mother. Reprint.",,432,2005,,034545894X,9780345458940
The Rise of Endymion,Dan Simmons,Fiction,http://books.google.com/books/content?id=b-iUS4OlDLsC&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.17,34995,"As a final genocidal Crusade threatens to enslave humanity forever, Aenea, a new messiah, comes of age and must deliver her startling message to her growing army of disciples, but not before embarking on a mission to discover the very meaning of the universe. Reprint. NYT.",,709,1998,,553572989,9780553572988
